Name,latitude,longitude,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023e,2024e
,,,,,,,,,,,,,
Albania,41.000028,19.9999619,,,,,,,,,,,
Belgium,50.6402809,4.6667145,,,,,,,,,,,
Bulgaria,42.6073975,25.4856617,,,,,,,,,,,
Canada,61.0666922,-107.991707,,,,,,,,,,,
Croatia,45.3658443,15.6575209,,,,,,,,,,,
Czechia,49.7439047,15.3381061,,,,,,,,,,,
Denmark,55.670249,10.3333283,,,,,,,,,,,
Estonia,58.7523778,25.3319078,,,,,,,,,,,
Finland,63.2467777,25.9209164,,,,,,,,,,,
France,46.603354,1.8883335,,,,,,,,,,,
Germany,51.1638175,10.4478313,,,,,,,,,,,
Greece,38.9953683,21.9877132,,,,,,,,,,,
Hungary,47.1817585,19.5060937,,,,,,,,,,,
Italy,42.6384261,12.674297,,,,,,,,,,,
Latvia,56.8406494,24.7537645,,,,,,,,,,,
Lithuania,55.3500003,23.7499997,,,,,,,,,,,
Luxembourg,49.8158683,6.1296751,,,,,,,,,,,
Montenegro,42.9868853,19.5180992,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,
Türkiye,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,
United States,,,,,,,,,,,,,
